trimestre,codice,materia,sul_portale,nuovi_scaricati,gia_locali,gia_sgai,pagine_elaborate,stato
Q3 lug-set,B130,Imposta erariale di trascrizione,,0,0,0,0,crash / no ricerca
Q3 lug-set,B070,Imposta sulle assicurazioni,,0,0,0,0,crash / no ricerca
Q3 lug-set,C020,Imu ex Ici,,0,0,0,0,crash / no ricerca
Q3 lug-set,B090,Intrattenimenti,,0,0,0,0,crash / no ricerca
Q3 lug-set,C070,Invim,,0,0,0,0,crash / no ricerca
Q3 lug-set,B030,Ipotecarie e catastali,,0,0,0,0,crash / no ricerca
Q3 lug-set,C010,Irap,,0,0,0,0,crash / no ricerca
Q3 lug-set,A020,Ires (ex Irpeg),,0,0,0,0,crash / no ricerca
Q3 lug-set,A010,Irpef,,0,0,0,0,crash / no ricerca
Q3 lug-set,B010,Iva,,0,0,0,0,crash / no ricerca
Q3 lug-set,C030,Pubblicita e pubbliche affissioni,,0,0,0,0,crash / no ricerca
Q3 lug-set,H030,Pubblicita immobiliare,,0,0,0,0,crash / no ricerca
Q3 lug-set,B110,Radiodiffusioni,,0,0,0,0,crash / no ricerca
Q3 lug-set,D080,Rapporti con l'AF,,0,0,0,0,crash / no ricerca
Q3 lug-set,B020,Registro,,0,0,0,0,crash / no ricerca
Q3 lug-set,D030,Rimborsi,,0,0,0,0,crash / no ricerca
Q3 lug-set,D020,Riscossione,,0,0,0,0,crash / no ricerca
Q3 lug-set,H020,Servizi estimativi (OMI),,0,0,0,0,crash / no ricerca
Q3 lug-set,B040,Successioni e donazioni,,0,0,0,0,crash / no ricerca
Q3 lug-set,C040,Tarsu,,0,0,0,0,crash / no ricerca
Q3 lug-set,B080,Tassa sui contratti di borsa,,0,0,0,0,crash / no ricerca
Q3 lug-set,B100,Tasse automobilistiche,,0,0,0,0,crash / no ricerca
Q3 lug-set,C060,Tosap,,0,0,0,0,crash / no ricerca
Q3 lug-set,C090,Tributi locali vari,,0,0,0,0,crash / no ricerca
Q3 lug-set,D050,Violazioni e sanzioni,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D040,Accertamento imposte,,0,0,0,0,crash / no ricerca
Q4 ott-dic,E020,Accise armonizzate - Alcole,,0,0,0,0,crash / no ricerca
Q4 ott-dic,E010,Accise armonizzate - Prodotti energetici,,0,0,0,0,crash / no ricerca
Q4 ott-dic,E030,Accise non armonizzate,17,17,0,0,2,quasi completa
Q4 ott-dic,D010,Agevolazioni,91,40,0,0,5,parziale
Q4 ott-dic,B050,Bollo,,0,0,0,0,crash / no ricerca
Q4 ott-dic,H010,Catasto,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B060,Concessioni governative,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D070,Condono,,0,0,0,0,crash / no ricerca
Q4 ott-dic,D060,Contenzioso,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C050,Cosap,,0,0,0,0,crash / no ricerca
Q4 ott-dic,G010,Demanio,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B140,Diritti e tributi indiretti vari,,0,0,0,0,crash / no ricerca
Q4 ott-dic,F010,Dogane,,0,0,0,0,crash / no ricerca
Q4 ott-dic,C080,Iciap,,0,0,0,0,crash / no ricerca
Q4 ott-dic,A030,Ilor,,0,0,0,0,crash / no ricerca
Q4 ott-dic,B130,Imposta erariale di trascrizione,,0,0,0,0,crash / no ricerca
