numero,anno,pagina,doc,categoria,hint,azione
32261,2025,113,10,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32261,2025,CGT ... in corte_override.csv"
32139,2025,118,3,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32139,2025,CGT ... in corte_override.csv"
32147,2025,117,7,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32147,2025,CGT ... in corte_override.csv"
31972,2025,123,7,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 31972,2025,CGT ... in corte_override.csv"
31971,2025,123,8,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 31971,2025,CGT ... in corte_override.csv"
31830,2025,126,5,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31830,2025,CGT ... in corte_override.csv"
31747,2025,128,7,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 31747,2025,CGT ... in corte_override.csv"
31711,2025,130,8,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 31711,2025,CGT ... in corte_override.csv"
31707,2025,130,9,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31707,2025,CGT ... in corte_override.csv"
31578,2025,133,3,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31578,2025,CGT ... in corte_override.csv"
31557,2025,134,2,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31557,2025,CGT ... in corte_override.csv"
31575,2025,133,5,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31575,2025,CGT ... in corte_override.csv"
31560,2025,133,10,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31560,2025,CGT ... in corte_override.csv"
31549,2025,134,7,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 31549,2025,CGT ... in corte_override.csv"
